Employee Identifier,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
44254,Police Officer,44645.3,0,0,44645.3,7935.28,7202.37,3424.58,18562.23,63207.53
46427,Police Officer,88161.07,4899.13,8702.52,101762.72,16405.86,11832.48,1732.22,29970.56,131733.28
9826,Police Officer,41863.75,477.45,425.48,42766.68,7610.56,6880.84,2874.67,17366.07,60132.75
11127,Police Officer,85329.03,8886.39,2419.43,96634.85,15631.8,13890.29,2748.71,32270.8,128905.65
51088,Police Officer,85297.83,4505.11,5962.59,95765.53,15682.01,13883.86,2755.41,32321.28,128086.81
51301,Police Officer,66366.32,753.29,6016.82,73136.43,11971,10803.56,4452.02,27226.58,100363.01
6664,Police Officer,87947.85,24760.88,8791.73,121500.46,16356.34,13858.14,2038.63,32253.11,153753.57
42811,Police Officer,105448.91,32833.09,5018.8,143300.8,18568.66,12346.92,2451.43,33367.01,176667.81
46544,Police Officer,105540.72,7427.99,6950.11,119918.82,19598.41,13832.42,1914.45,35345.28,155264.1
30161,Police Officer,54035.3,0,0,54035.3,9637.69,8745.74,4168.38,22551.81,76587.11
11026,Police Officer,85329.05,19654.93,4949.5,109933.48,15772.41,13890.29,2218.52,31881.22,141814.7
32,Police Officer,11196.18,0,0,11196.18,1987.33,1807.03,869.02,4663.38,15859.56
35382,Police Officer,86689.08,5904.96,5381.95,97975.99,16126.8,13890.27,1642.1,31659.17,129635.16
14364,Police Officer,15800,4533.25,1750.51,22083.76,2963.84,2057.82,370.52,5392.18,27475.94
14803,Police Officer,66555.32,93.54,54.88,66703.74,11968.87,10803.56,4365.23,27137.66,93841.4
2527,Police Officer,55211.14,7421.69,3341.92,65974.75,10354.84,7189.5,1099.41,18643.75,84618.5
11629,Police Officer,114326.05,37339.76,14995.98,166661.79,20113.88,13375.83,2789.4,36279.11,202940.9
47693,Police Officer,110187.37,48616.58,3515.49,162319.44,20453.33,13825.98,2675.84,36955.15,199274.59
20264,Police Officer,60295.3,1028.99,77.33,61401.62,10803.27,9774.65,4284.21,24862.13,86263.75
42074,Police Officer,60379.44,2541.87,982.85,63904.16,10879.59,9838.96,4113.75,24832.3,88736.46
1538,Police Officer,85336.92,7206.45,3366.65,95910.02,15564.65,13890.29,3789.91,33244.85,129154.87
8086,Police Officer,85336.94,8082.46,6838.2,100257.6,15772.37,13890.29,2046.55,31709.21,131966.81
29240,Police Officer,118780.99,9221.54,23116.76,151119.29,20886.1,13890.28,2536,37312.38,188431.67
19582,Police Officer,82496.87,25380.25,17563.87,125440.99,15355.87,12797.07,2041.75,30194.69,155635.68
27054,Police Officer,85336.92,6140.87,3359.89,94837.68,15564.65,13890.28,3835.92,33290.85,128128.53
34166,Police Officer,86736.92,12799.55,11433.74,110970.21,16134.02,13890.29,1858.65,31882.96,142853.17
24885,Police Officer,75972.44,7410.91,4202.17,87585.52,14022.97,11764.95,1357.77,27145.69,114731.21
16365,Police Officer,85329.03,10649.17,7078.42,103056.62,15867.12,13890.3,1727.74,31485.16,134541.78
53643,Police Officer,78802.33,17964.18,5942.58,102709.09,14677.33,12346.93,1723.88,28748.14,131457.23
25204,Police Officer,105438.09,20402.35,17049.21,142889.65,18568.92,12346.92,2394.3,33310.14,176199.79
26791,Police Officer,73518.36,4587.5,7043.5,85149.36,13703.86,11318.02,1427.63,26449.51,111598.87
51395,Police Officer,85329.03,8431.36,3538.69,97299.08,15564.69,13890.29,3932.23,33387.21,130686.29
13102,Police Officer,86749.07,7578.53,5903.25,100230.85,16137.74,13890.29,1680.11,31708.14,131938.99
52529,Police Officer,86709.03,10049.15,8420.26,105178.44,16130.43,13890.29,1761.04,31781.76,136960.2
39672,Police Officer,44888.3,0,872.61,45760.91,7980.22,7253.82,3551.29,18785.33,64546.24
48153,Police Officer,85336.91,3193.42,3115.29,91645.62,15564.64,13890.28,3802.72,33257.64,124903.26
36523,Police Officer,66555.32,2961.65,1668.85,71185.82,11968.87,10803.56,4423.43,27195.86,98381.68
45898,Police Officer,11175.5,0,0,11175.5,1983.66,1800.59,836.59,4620.84,15796.34
7899,Police Officer,88154.86,14724.19,5063.65,107942.7,16396.84,13890.28,1807.63,32094.75,140037.45
19162,Police Officer,61008.95,34163.29,6147.12,101319.36,10765.9,7202.37,1660.6,19628.87,120948.23
9542,Police Officer,85329.03,4274.18,4577.82,94181.03,15689.31,13890.29,2899.59,32479.19,126660.22
30693,Police Officer,87829.5,5730.13,6903.55,100463.18,16335.88,13890.29,1681.55,31907.72,132370.9
28051,Police Officer,85509.06,18015.7,9250.9,112775.66,15899.95,13890.3,1891.56,31681.81,144457.47
19823,Police Officer,110739.45,7355.14,7836.77,125931.36,20554.78,13890.28,2062.49,36507.55,162438.91
35233,Police Officer,85329.1,2131.16,6330.96,93791.22,15867.14,13890.29,1562.21,31319.64,125110.86
13630,Police Officer,87329.14,6064.69,9279.81,102673.64,16243.48,13890.29,1653.47,31787.24,134460.88
6781,Police Officer,64364.3,0,0,64364.3,11510.34,10443.44,4943.88,26897.66,91261.96
41264,Police Officer,11175.5,0,0,11175.5,1983.66,1800.59,862.59,4646.84,15822.34
12741,Police Officer,60998.02,19578.48,4156.98,84733.48,10844.12,7202.37,1440.31,19486.8,104220.28
19353,Police Officer,85329.06,10163.54,2870.44,98363.04,15826.05,13890.29,1648.63,31364.97,129728.01
