Employee Identifier,Job,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
41937,Firefighter,7200,0,0,7200,1278,1286.14,554.77,3118.91,10318.91
15082,Firefighter,118184.81,23065.73,19004.61,160255.15,23113.83,16822.68,2743.31,42679.82,202934.97
53164,Firefighter,84760.63,27171.16,13583.83,125515.62,17529.9,16822.69,2039.03,36391.62,161907.24
15149,Firefighter,118805.7,4895.42,7411.61,131112.73,22036.66,13890.29,2192.18,38119.13,169231.86
22581,Firefighter,118184.81,25694.83,18648.5,162528.14,23212.36,16822.68,2743.05,42778.09,205306.23
21458,Firefighter,7200,0,0,7200,1278,1286.14,552.44,3116.58,10316.58
55800,Firefighter,113672.89,47583.83,16494.27,177750.99,23203.48,16977.02,2941.28,43121.78,220872.77
18805,Firefighter,70026.57,12461.86,791.75,83280.18,12753.51,14250.41,3099.56,30103.48,113383.66
25692,Firefighter,119280.07,29414.55,19737.96,168432.58,23425.04,16977.02,2855.79,43257.85,211690.43
55112,Firefighter,118184.8,58331.92,19609.59,196126.31,23212.39,16822.68,3357.81,43392.88,239519.19
10821,Firefighter,118184.77,46150.99,19636.45,183972.21,23212.37,16822.68,3141.45,43176.5,227148.71
48333,Firefighter,118184.79,41084.15,19982.27,179251.21,23212.39,16822.68,3055.64,43090.71,222341.92
24618,Firefighter,119258.62,83186.47,24754.65,227199.74,24258.49,16977.02,609.77,41845.28,269045.02
40176,Firefighter,69330.7,13400.57,3797.62,86528.89,13128.33,14096.07,3002.09,30226.49,116755.38
9376,Firefighter,119119.08,9682.78,18099.78,146901.64,23350.91,16822.68,2427.77,42601.36,189503
9463,Firefighter,119280.08,10818.92,13044.89,143143.89,23442.08,16977.01,2353.68,42772.77,185916.66
49600,Firefighter,85384.79,32132.51,8854.65,126371.95,16750.94,16977.02,2115.34,35843.3,162215.25
18487,Firefighter,113726.13,37373.02,19244.88,170344.03,22338.29,16977.02,2913.07,42228.38,212572.41
53333,Firefighter,119280.06,6682.75,23692.79,149655.6,24237.64,16977.01,2490.8,43705.45,193361.05
6028,Firefighter,119705.86,3557.36,16236.71,139499.93,23003.82,16256.78,1768.42,41029.02,180528.95
5084,Firefighter,40104.01,2199.92,986.42,43290.35,7317.15,7613.94,2456.5,17387.59,60677.94
31933,Firefighter,123193.94,3730.98,21797.34,148722.26,25306.18,16655.62,2620.07,44581.87,193304.13
29440,Firefighter,119258.64,42476.69,19639.68,181375.01,23425.6,16977.02,3092.27,43494.89,224869.9
44408,Firefighter,119258.63,75665.57,20486.89,215411.09,23425.6,16977.02,3623.31,44025.93,259437.02
36949,Firefighter,56913.52,35021.45,44472,136406.97,11702.68,8179.83,2219.82,22102.33,158509.3
16093,Firefighter,118184.79,57801.88,12506.1,188492.77,21883.5,16822.68,3161.02,41867.2,230359.97
49983,Firefighter,119280.1,57673.26,19652.55,196605.91,23425.05,16977.02,3317.6,43719.67,240325.58
8382,Firefighter,119258.63,2891.14,17711.48,139861.25,23179.59,16977.02,2393.3,42549.91,182411.16
6369,Firefighter,119258.63,27557.15,19908.1,166723.88,23520.47,16977.02,2840.51,43338,210061.88
19392,Firefighter,118444.48,40461.89,11775.82,170682.19,23138.9,16822.67,2837.02,42798.59,213480.78
12113,Firefighter,119258.65,99465.43,20487.97,239212.05,23425.6,16977.02,4100.05,44502.67,283714.72
30136,Firefighter,131865.84,55465.4,16327.29,203658.53,25519.11,15330.77,3441.04,44290.92,247949.45
15167,Firefighter,119258.66,3014.18,22583.12,144855.96,24477.9,16977.02,2446.19,43901.11,188757.07
26571,Firefighter,118206.22,9424.44,17127.24,144757.9,23113.39,16822.68,1630.66,41566.73,186324.63
38016,Firefighter,119258.63,25036.72,19736.33,164031.68,23425.6,16977.02,2611.78,43014.4,207046.08
44655,Firefighter,119258.67,5585.4,19430.28,144274.35,23425.6,16977.02,2466.6,42869.22,187143.57
14207,Firefighter,118184.79,46542.96,26057.57,190785.32,23874.75,16822.68,2641.4,43338.83,234124.15
38337,Firefighter,117139.06,5058.06,18024.19,140221.31,22815.03,16609.5,2353.17,41777.7,181999.01
31185,Firefighter,119258.66,11009.44,18276.2,148544.3,24499.41,16977.02,2492.01,43968.44,192512.74
7281,Firefighter,118184.8,32575.05,12729.29,163489.14,23080.07,16822.69,2746.39,42649.15,206138.29
42417,Firefighter,40104,1064.48,1057.39,42225.87,7317.15,7613.94,2438.56,17369.65,59595.52
12718,Firefighter,118184.77,48307.04,24433.57,190925.38,24037.69,16822.68,3202.51,44062.88,234988.26
38161,Firefighter,114768.18,4565.05,8251.76,127584.99,21860.22,17131.36,2105,41096.58,168681.57
6175,Firefighter,103849.08,25354.19,21733.19,150936.46,21638.07,14652.78,2358.29,38649.14,189585.6
15726,Firefighter,112803.18,48875.26,16282.35,177960.79,21739.3,15769.99,2671.69,40180.98,218141.77
52718,Firefighter,118184.79,26181.93,20703.76,165070.48,23212.37,16822.68,2758.78,42793.83,207864.31
42356,Firefighter,118184.81,63872.48,17237.11,199294.4,23114.08,16822.68,3366.7,43303.46,242597.86
17499,Firefighter,119258.65,29805.74,14660.47,163724.86,22774.35,16977.02,2752.21,42503.58,206228.44
46818,Firefighter,118184.79,29239.53,19784.46,167208.78,23212.39,16822.68,2848.63,42883.7,210092.48
27862,Firefighter,117291.34,0,14812.74,132104.08,22747.63,15073.54,1534.84,39356.01,171460.09
16949,Firefighter,119280.09,17421.57,19732.56,156434.22,23425.04,16977.02,2668.75,43070.81,199505.03
